,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
10161,9722,85000000,0.223684211,7.929418926," Comedy, Fantasy, Romance",9.276085,0.016942981,6/21/2005,131426169,0.047140536,8.118681849,102,0.294498382,Bewitched,4.8,0.48,463,0.032895204,Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine, Jason Schwartzman, Kristin Chenoweth,Nora Ephron
10174,28000,1920000,0.005052632,6.283301229,Drama,2.747776,0.005018874,7/3/1956,3360000,0.00120518,6.526339277,113,0.330097087,Somebody Up There Likes Me,6.8,0.68,30,0.002131439,Paul Newman, Pier Angeli, Everett Sloane, Eileen Heckart, Sal Mineo, Harold J. Stone,Robert Wise
10175,38731,2515000,0.006618421,6.400537989," Drama, Romance, Comedy",1.148295,0.002097385,5/26/1978,24000000,0.008608429,7.380211242,124,0.365695793,An Unmarried Woman,6.1,0.61,17,0.001207815,Jill Clayburgh, Alan Bates, Michael Murphy, Cliff Gorman, Patricia Quinn, Kelly Bishop,Paul Mazursky
10203,74,132000000,0.347368421,8.120573931," Adventure, Thriller, Science Fiction",19.929377,0.036401465,6/28/2005,591739379,0.212247772,8.772130472,116,0.339805825,War of the Worlds,6.2,0.62,2397,0.170301954,Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin, Tim Robbins, Camillia Sanes,"Armorer, Frank House, Armorer, Steve Karnes, Armorer, Karl J. Weschta,   Security, Sean G. Miller"
10208,1667,8000000,0.021052632,6.903089987," Documentary, Family",9.435123,0.017233468,1/26/2005,127392239,0.045693627,8.105142971,80,0.223300971,March of the Penguins,6.9,0.69,371,0.026358792,Morgan Freeman, Charles Berling, Romane Bohringer, Jules Sitruk,,,"Luc Jacquet, Jérôme Maison"
10218,9738,100000000,0.263157895,8," Action, Adventure, Fantasy, Science Fiction",19.382082,0.035401818,6/29/2005,330579719,0.118573837,8.519276206,106,0.307443366,Fantastic Four,5.5,0.55,3040,0.21598579,Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington,
10219,14278,300000,0.000789474,5.477121255,Documentary,1.687901,0.003082988,7/22/2005,1750211,0.000627773,6.243090409,88,0.249190939,Murderball,6.9,0.69,23,0.001634103,Joe Bishop, Keith Cavill, Andy Cohn, Scott Hogsett, Christopher Igoe,,"Henry Alex Rubin, Dana Adam Shapiro"
10222,9522,40000000,0.105263158,7.602059991," Comedy, Romance",11.100597,0.020275495,7/14/2005,285176741,0.10228849,8.455114102,119,0.349514563,Wedding Crashers,6.4,0.64,1406,0.099893428,Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams, Isla Fisher, Jane Seymour,David Dobkin
10229,1826,13000000,0.034210526,7.113943352," Comedy, Drama, Romance",6.361343,0.011619138,6/15/2005,23727301,0.008510616,7.37524834,129,0.381877023,Russian Dolls,6.8,0.68,156,0.011083481,Romain Duris, Kelly Reilly, Audrey Tautou, Cécile de France, Kevin Bishop, Olivier Saladin,Cédric Klapisch
10241,10476,8000000,0.021052632,6.903089987,Drama,7.422267,0.01355694,7/22/2005,23563727,0.008451944,7.372243983,116,0.339805825,Hustle & Flow,6.9,0.69,101,0.007175844,Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, Elise Neal, DJ Qualls,
