,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
19867,50620,120000000,0.315784972,8.079181246," Adventure, Fantasy, Drama, Romance",26.080995,4.76E-02,11/13/2012,829000000,0.297349137,8.918554531,115,0.340236686,The Twilight Saga: Breaking Dawn - Part 2,6.1,6.70E-01,2641,0.187637655,Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene,
19876,60747,65000000,0.171047178,7.812913357," War, Action, Thriller, Science Fiction",5.627787,1.03E-02,11/21/2012,44806783,0.016071005,7.651343764,93,0.275147929,Red Dawn,5.3,5.82E-01,573,0.04071048,Chris Hemsworth, Josh Hutcherson, Isabel Lucas, Adrianne Palicki, Jeffrey Dean Morgan, Edwin Hodge,Dan Bradley
19878,81188,145000000,0.381574879,8.161368002," Fantasy, Animation, Family",10.943775,2.00E-02,11/21/2012,306941670,0.110094786,8.487055852,97,0.286982249,Rise of the Guardians,7.1,7.80E-01,1981,0.140746004,Chris Pine, Alec Baldwin, Jude Law, Isla Fisher, Hugh Jackman, Dakota Goyo,Peter Ramsey
19894,97614,12000000,0.031572576,7.079181246," Crime, Drama, Thriller",8.435294,1.54E-02,11/8/2012,66351,2.32955E-05,4.821847473,95,0.281065089,Deadfall,5.6,6.15E-01,228,0.016198934,Eric Bana, Olivia Wilde, Charlie Hunnam, Patrick Kerton, Kris Kristofferson, Sissy Spacek,
19911,102780,10000000,0.026309384,7," Drama, Fantasy, Thriller",6.79497,1.24E-02,9/9/2012,89237,3.15044E-05,4.950544962,118,0.349112426,Byzantium,6.1,6.70E-01,300,0.021314387,Saoirse Ronan, Gemma Arterton, Sam Riley, Caleb Landry Jones, Daniel Mays, Warren Brown,
19915,85446,33000000,0.086836098,7.51851394," Music, Drama, Romance",7.859968,1.44E-02,7/26/2012,140470746,0.050384208,8.147585889,99,0.292899408,Step Up Revolution,6.7,7.36E-01,679,0.048241563,Kathryn McCormick, Ryan Guzman, Stephen Boss, Megan Boone, Jessica Guadix, Cleopatra Coleman,Scott Speer
20015,76349,30000000,0.078941309,7.477121255," Adventure, Drama, Action, History, War",3.835131,7.00E-03,7/3/2011,108348,3.83592E-05,5.034820899,125,0.369822485,1911,5,5.49E-01,41,0.002912966,Jackie Chan, Li Bingbing, Joan Chen, Jaycee Chan, Sun Chun, Jiang Wu,"Jackie Chan, 张立 | Zhang Li"
20030,49051,250000000,0.657892486,8.397940009," Adventure, Fantasy, Action",23.253089,4.25E-02,11/26/2012,1021103568,0.366253754,9.009069794,169,0.5,The Hobbit: An Unexpected Journey,7,7.69E-01,8427,0.598721137,Ian McKellen, Martin Freeman, Richard Armitage, Andy Serkis, Cate Blanchett, Christopher Lee,Peter Jackson
20040,84305,26350000,0.069335982,7.42078062," Drama, Comedy",5.153138,9.41E-03,6/22/2012,1576687,0.00056503,6.197745487,94,0.278106509,Lay the Favorite,4.9,5.38E-01,69,0.004902309,Rebecca Hall, Bruce Willis, Catherine Zeta-Jones, Joshua Jackson, Vince Vaughn, Laura Prepon,Stephen Frears
20043,106135,13000000,0.034204172,7.113943352,Drama,5.138409,9.38E-03,5/18/2012,1832541,0.000656801,6.2630537,95,0.281065089,Crooked Arrows,5.6,6.15E-01,14,0.000994671,Brandon Routh, Gil Birmingham, Chelsea Ricketts, Crystal Allen, Tom Kemp, Dennis Ambriz,Steve Rash
