,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
5455,4108,21000000,7.322219295," Action, Crime, Thriller",13.217421,10/2/2002,43928932,7.642750645,92,The Transporter,6.6,1724,Jason Statham, Shu Qi, François Berléand, Matt Schulze, Ric Young, Doug Rand,"Louis Leterrier, Corey Yuen Kwai"
4120,4133,53000000,7.72427587," Crime, Drama",12.332223,4/4/2001,83282296,7.92055269,124,Blow,7.4,1352,Johnny Depp, Penélope Cruz, Ethan Suplee, Ray Liotta, Franka Potente, Rachel Griffiths,
5346,4147,80000000,7.903089987," Thriller, Crime, Drama",13.426684,7/12/2002,181001478,8.257682121,117,Road to Perdition,7.3,1102,Tom Hanks, Tyler Hoechlin, Jennifer Jason Leigh, Liam Aiken, Paul Newman, Daniel Craig,"Projection, Brian Lunt, Negative Cutter, Gary Burritt, Dolly Grip, Mike Schwake"
13279,4148,35000000,7.544068044," Drama, Romance",12.265867,12/19/2008,75225693,7.876366197,119,Revolutionary Road,6.8,824,Leonardo DiCaprio, Kate Winslet, Michael Shannon, Kathryn Hahn, David Harbour, Kathy Bates,"Seamstress, Stephanie Biear, Researcher, Tegan Jones"
910,4174,1500000,6.176091259," Drama, Mystery, Thriller",5.47596,12/28/1945,7000000,6.84509804,111,Spellbound,7.3,166,Ingrid Bergman, Gregory Peck, Michael Chekhov, Rhonda Fleming, Leo G. Carroll, John Emery,Alfred Hitchcock
4093,4192,7920000,6.898725182,Mystery,11.162277,10/6/1978,14560084,7.163163881,140,Death on the Nile,6.7,121,Peter Ustinov, Mia Farrow, Simon MacCorkindale, Lois Chiles, Angela Lansbury, Bette Davis,John Guillermin
2959,4203,700000,5.84509804," Comedy, Drama",5.470331,3/14/1988,7179298,6.856081981,88,Women on the Verge of a Nervous Breakdown,7.6,149,Carmen Maura, Antonio Banderas, Julieta Serrano, María Barranco, Rossy de Palma, Kiti Mánver,Pedro Almodóvar
1363,4232,14000000,7.146128036," Crime, Horror, Mystery",13.326443,12/20/1996,173046663,8.238163229,111,Scream,7,1520,David Arquette, Neve Campbell, Courteney Cox, Matthew Lillard, Rose McGowan, Skeet Ulrich,
1641,4233,24000000,7.380211242," Horror, Mystery",11.264845,12/9/1997,172363301,8.236444803,120,Scream 2,6.1,856,David Arquette, Neve Campbell, Courteney Cox, Sarah Michelle Gellar, Jamie Kennedy, Laurie Metcalf,Wes Craven
3164,4234,40000000,7.602059991," Horror, Mystery",9.738371,2/3/2000,161834276,8.209070509,116,Scream 3,5.7,749,David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Lance Henriksen,Wes Craven
